Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Heat_of_Combustion,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,Autoignition_Point,Flashpoint,DOT_Hazard_Class,DOT_Numbers,EU_Number,NFPA_Fire_Rating,NFPA_Health_Rating,NFPA_Reactivity_Rating,RTECS_Number,Alternate_Names,Block,Group,Period,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Gmelin_Number,NSC_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption,Graph.Period,Graph.Group
Hydrogen,H,1.0,1.00794,0.0899,14.01,20.28,Gas,14.01,20.28,1293000.0,32.97,0.558,0.452,,14300.0,7/5,,0.1805,,,0.01121,,,,,,,,1.000132,1270.0,1.0,2.2,72.8,808.65,255.15,2.1,1966.0,EU215-605-7,4.0,3.0,0.0,RTECSMW8900000,,s,1.0,1.0,1s1,Colorless,Diatomic,CAS1333-74-0,CID783,Gmelin3,,,,,,Diamagnetic,,-2.48e-08,-2.5e-11,-2.23e-09,75.0,75.0,2.4,0.15,11.0,10.0,5.3e-11,3.7e-11,1.2e-10,P63/mmc,194.0,inf,inf,,2S1/2,0.332,0.011,1.0,1.0
Helium,He,2.0,4.002602,0.1785,,4.21999999999997,Gas,,4.22,,5.19,0.02,0.083,,,5/3,,0.1513,,,0.022424,,,,,,,,1.000035,970.0,0.0,,0.0,,,2.2,1963.0,EU231-168-5,0.0,1.0,0.0,,,p,18.0,1.0,[Xe]4f56s2,Colorless,Monoatomic,CAS7440-59-7,CID23987,Gmelin16294,,,,,,Diamagnetic,,-5.9e-09,-2.36e-11,-1.05e-09,23.0,23.0,,5.5e-07,7.2e-10,,3.1e-11,3.2e-11,1.4e-10,"Fm_
3m",225.0,inf,inf,,1S0,0.007,1e-05,1.0,18.0
Lithium,Li,3.0,6.941,535.0,453.69,1615.15,Solid,453.69,1615.0,,3223.0,3.0,147.0,-298.0,1820.0,,,85.0,4.6e-05,512.0,1.297e-05,,600000.0,,11000000000.0,4200000000.0,4900000000.0,,,6000.0,1.0,0.98,59.6,452.15,,4.3,1415.0,EU231-102-5,2.0,3.0,2.0,RTECSDS1750000,,s,1.0,2.0,[He]2s2,Silver,,CAS7439-93-2,CID3028194,Gmelin30,,Conductor,11000000.0,9.4e-08,,Paramagnetic,,6.3e-09,4.37e-11,3.37e-06,6e-07,6e-09,0.00017,0.0017,1.8e-05,3e-06,1.67e-10,1.34e-10,1.82e-10,"Im_
3m",229.0,inf,inf,,2S1/2,0.045,,2.0,1.0
Beryllium,Be,4.0,9.012182,1848.0,1560.15,2743.15,Solid,1560.0,2743.0,,,7.95,297.0,,240.0,,,190.0,1.13e-05,1690.0,4.8767e-06,600000000.0,5500000.0,1670000000.0,130000000000.0,132000000000.0,287000000000.0,0.032,,13000.0,2.0,1.57,0.0,,,6.1,1567.0,EU231-150-7,1.0,3.0,0.0,RTECSLW3850000,,s,2.0,2.0,[Xe]4f75d16s2,SlateGray,,CAS7440-41-7,CID5460467,Gmelin16256,,Conductor,25000000.0,4e-08,0.026,Diamagnetic,,-1.26e-08,-1.136e-10,-2.328e-05,1e-07,1e-08,2.9e-06,0.00019,6e-11,4e-08,1.12e-10,9e-11,,P63/mmc,194.0,inf,inf,,1S0,0.0092,3e-05,2.0,2.0
Boron,B,5.0,10.811,2460.0,2348.15,4273.15,Solid,2348.0,4273.0,3390000.0,,50.0,507.0,,1040.0,,,27.0,6e-06,2080.0,4.3947e-06,,9300000.0,49000000000.0,320000000000.0,,,,,16200.0,3.0,2.04,26.7,,,,,EU231-151-2,3.0,2.0,0.0,RTECSQW9700000,,p,13.0,2.0,[He]2s22p3,Black,,CAS7440-42-8,CID5462311,Gmelin16262,,Insulator,0.0001,10000.0,,Diamagnetic,,-8.7e-09,-9.41e-11,-2.14e-05,1e-07,2e-07,0.00016,0.00086,0.00044,7e-05,8.7e-11,8.2e-11,,"R_
3m",166.0,inf,inf,,2P1/2,755.0,2.4,2.0,13.0
Carbon,C,6.0,12.0107,2260.0,3823.15,4300.15,Solid,3823.0,4300.0,,,105.0,715.0,-393.0,165.0,,,140.0,7.1e-06,,5.3145e-06,,500000.0,,33000000000.0,,,,2.417,18350.0,4.0,2.55,153.9,758.15,,4.2,1361.0,EU231-153-3,1.0,0.0,0.0,,,p,14.0,2.0,[Xe]4f116s2,Black,,CAS7440-44-0,CID5462310,Gmelin8868,,Conductor,100000.0,1e-05,,Diamagnetic,,-6.2e-09,-7.45e-11,-1.4e-05,0.5,0.3,1.5,0.18,0.0028,23.0,6.7e-11,7.7e-11,1.7e-10,P63/mmc,194.0,inf,inf,,3P0,0.0035,1.5e-05,2.0,14.0
Nitrogen,N,7.0,14.0067,1.251,63.05,77.36,Gas,63.05,77.36,2760000.0,126.21,0.36,2.79,,1030.0,7/5,,0.02583,,,0.011196,,,,,,,,1.000298,333.6,3.0,3.04,7.0,,,2.2,1977.0,EU231-783-9,0.0,3.0,0.0,RTECSQP4450000,,p,15.0,2.0,[He]2s22p6,Colorless,Diatomic,CAS7727-37-9,CID947,Gmelin150,,,,,,Diamagnetic,,-1e-08,-1.401e-10,-1.251e-08,0.1,0.1,0.14,0.002,5e-05,2.6,5.6e-11,7.5e-11,1.55e-10,P63/mmc,194.0,inf,inf,,4S3/2,1.91,0.0048,2.0,15.0
Oxygen,O,8.0,15.9994,1.429,54.85,90.25,Gas,54.8,90.2,,154.59,0.222,3.41,,154.0,7/5,,0.02658,,,0.011196,,,,,,,,1.000271,317.5,2.0,3.44,141.0,,,2.2,1073.0,EU231-956-9,0.0,3.0,2.0,RTECSZG1925000,,p,16.0,2.0,[Xe]4f146s2,Colorless,Diatomic,CAS7782-44-7,CID977,Gmelin485,,,,,,Paramagnetic,,1.335e-06,2.13592e-08,1.90772e-06,1.0,0.9,40.0,46.0,86.0,61.0,4.8e-11,7.3e-11,1.52e-10,C12/m1,12.0,inf,inf,,3P2,0.00028,1e-06,2.0,16.0
Fluorine,F,9.0,18.9984032,1.696,53.55,85.03,Gas,53.5,85.03,,144.13,0.26,3.27,,904.0,7/5,,0.0277,,,0.011202,,,,,,,,1.000195,,1.0,3.98,328.0,,,2.3,9192.0,EU231-954-8,0.0,4.0,4.0,RTECSBD0330000,,p,17.0,2.0,[Ne]3s23p1,Colorless,Diatomic,CAS7782-41-4,CID24524,Gmelin16281,,,,,,,,,,,4e-05,5e-05,0.0087,0.054,0.00013,0.0037,4.2e-11,7.1e-11,1.47e-10,C12/c1,15.0,inf,inf,,2P3/2,0.0096,2e-05,2.0,17.0
Neon,Ne,10.0,20.1797,0.9,24.56,27.07,Gas,24.56,27.07,,44.4,0.34,1.75,,140.0,5/3,,0.0491,,,0.02242,,,,,,,,1.000067,936.0,0.0,,0.0,,,2.2,1913.0,EU231-110-9,,,,RTECSWW5505000,,p,18.0,2.0,[Xe]4f145d36s2,Colorless,Monoatomic,CAS7440-01-9,CID23935,Gmelin16211,,,,,,Diamagnetic,,-4.1e-09,-8.27e-11,-3.69e-09,0.13,0.1,,3e-07,1.2e-08,,3.8e-11,6.9e-11,1.54e-10,"Fm_
3m",225.0,inf,inf,,1S0,0.04,0.0006,2.0,18.0
Sodium,Na,11.0,22.98977,968.0,370.87,1156.15,Solid,370.87,1156.0,20700000.0,2573.0,2.6,97.7,,705.0,,,140.0,7.1e-05,927.0,2.375e-05,690000.0,500000.0,,6300000000.0,3300000000.0,10000000000.0,,,3200.0,1.0,0.93,52.8,388.15,277.15,4.3,1428.0,EU231-132-9,3.0,3.0,2.0,,Natrium,s,1.0,3.0,[Ne]3s23p4,Silver,,CAS7440-23-5,CID923,Gmelin563,,Conductor,21000000.0,4.7e-08,,Paramagnetic,,6.4e-09,1.47e-10,6.2e-06,0.002,0.004,0.55,2.3,1.1,0.14,1.9e-10,1.54e-10,2.27e-10,"Im_
3m",229.0,inf,inf,,2S1/2,0.53,0.0007,3.0,1.0
Magnesium,Mg,12.0,24.305,1738.0,923.15,1363.15,Solid,923.0,1363.0,,,8.7,128.0,-668.0,130.0,,,160.0,8.2e-06,1584.0,1.3984e-05,260000000.0,2500000.0,,45000000000.0,17000000000.0,45000000000.0,0.29,,4602.0,2.0,1.31,0.0,745.15,773.15,4.1,2950.0,EU231-104-6,1.0,0.0,1.0,RTECSRN1100000,,s,2.0,3.0,[Xe]4f145d66s2,Silver,,CAS7439-95-4,CID888,Gmelin16207,NSC529832,Conductor,23000000.0,4.4e-08,,Paramagnetic,,6.9e-09,1.68e-10,1.2e-05,0.06,0.07,12.0,2.9,0.13,0.027,1.45e-10,1.3e-10,1.73e-10,P63/mmc,194.0,inf,inf,,1S0,0.063,0.0001,3.0,2.0
Aluminum,Al,13.0,26.981538,2700.0,933.47,2792.15,Solid,933.47,2792.0,16000000.0,,10.7,293.0,,757.0,,,235.0,2.31e-05,2375.0,9.99e-06,245000000.0,2750000.0,167000000.0,76000000000.0,26000000000.0,70000000000.0,0.35,,5100.0,3.0,1.61,42.5,673.15,918.15,4.3,1396.0,EU231-072-3,1.0,0.0,1.0,RTECSTS6460000,Aluminium,p,13.0,3.0,[Ar]4s1,Silver,,CAS7429-90-5,CID5359268,Gmelin16248,,Conductor,38000000.0,2.6e-08,1.175,Paramagnetic,,7.8e-09,2.1e-10,2.11e-05,0.005,0.006,0.91,8.1,5e-07,9e-05,1.18e-10,1.18e-10,,"Fm_
3m",225.0,inf,inf,,2P1/2,0.233,0.03,3.0,13.0
Silicon,Si,14.0,28.0855,2330.0,1687.15,3173.15,Solid,1687.0,3173.0,,,50.2,359.0,-9055.0,129.1,,,150.0,2.6e-06,2570.0,1.2054e-05,,6500000.0,,100000000000.0,,47000000000.0,,,2200.0,4.0,1.9,133.6,423.15,,4.1,1346.0,EU231-130-8,0.0,1.0,0.0,RTECSMD5070000,,p,14.0,3.0,[Xe]4f145d106s1,Gray,,CAS7440-21-3,CID5461123,Gmelin61188,,Semiconductor,1000.0,0.001,,Diamagnetic,,-1.6e-09,-4.49e-11,-3.73e-06,0.07,0.09,14.0,27.0,0.0001,0.026,1.11e-10,1.11e-10,2.1e-10,"Fd_
3m",227.0,inf,inf,,3P0,171.0,0.0002,3.0,14.0
Phosphorus,P,15.0,30.973761,1823.0,317.35,553.65,Solid,317.3,553.6,,,0.64,12.4,,520.0,,,0.236,,,1.6991e-05,,,,11000000000.0,,,,1.001212,,5.0,2.19,72.0,573.15,303.15,4.2,2447.0,EU231-768-7,4.0,4.0,2.0,RTECSXR1700000,,p,15.0,3.0,[Ar]3d24s2,Colorless,,CAS7723-14-0,CID5462309,Gmelin8863,,Conductor,10000000.0,1e-07,,Diamagnetic,,-1.13e-08,-3.5e-10,-2.06e-05,0.0007,0.0007,0.11,0.099,7e-06,1.1,9.8e-11,1.06e-10,1.8e-10,P-1,2.0,inf,inf,,4S3/2,0.18,0.0002,3.0,15.0
Sulfur,S,16.0,32.065,1960.0,388.36,717.87,Solid,388.36,717.87,,1314.0,1.73,9.8,,127.0,,,0.205,,1819.0,1.636e-05,,2000000.0,,7700000000.0,,,,1.001111,,6.0,2.58,200.0,,,,,,,,,RTECSOF7525000,Sulphur,p,16.0,3.0,[Xe]4f145d106s26p2,Yellow,,CAS7704-34-9,,,,Insulator,1e-15,1000000000000000.0,,Diamagnetic,,-6.2e-09,-1.99e-10,-1.22e-05,0.05,0.04,4.0,0.042,0.093,0.2,8.8e-11,1.02e-10,1.8e-10,Fddd,70.0,inf,inf,,3P2,0.52,0.00055,3.0,16.0
Chlorine,Cl,17.0,35.453,3.214,171.65,239.11,Gas,171.6,239.11,,416.9,3.2,10.2,,479.0,7/5,,0.0089,,,0.011031,,,,1100000000.0,,,,1.000773,206.0,5.0,3.16,349.0,,,,,,,,,RTECSOO9275000,,p,17.0,3.0,[Ar]3d54s2,Yellow,Diatomic,CAS7782-50-5,CID24526,,,Insulator,0.01,100.0,,Diamagnetic,,-7.2e-09,-2.55e-10,-2.31e-08,0.0001,0.0008,0.037,0.017,2.0,0.12,7.9e-11,9.9e-11,1.75e-10,Cmca,64.0,inf,inf,,2P3/2,35.3,0.033,3.0,17.0
Argon,Ar,18.0,39.948,1.784,83.85,87.35,Gas,83.8,87.3,,150.87,1.18,6.5,,,5/3,,0.01772,,,0.022392,,,,,,,,1.000281,319.0,0.0,,0.0,,,2.2,1951.0,EU231-147-0,,,,,,p,18.0,3.0,[Xe]4f145d106s26p5,Colorless,Monoatomic,CAS7440-37-1,CID23968,Gmelin821,,,,,,Diamagnetic,,-6e-09,-2.4e-10,-1.07e-08,0.02,0.007,,0.00015,4.5e-05,,7.1e-11,9.7e-11,1.88e-10,"Fm_
3m",225.0,inf,inf,,1S0,0.65,0.0006,3.0,18.0
Potassium,K,19.0,39.0983,856.0,336.53,1032.15,Solid,336.53,1032.0,,2223.0,2.33,76.9,-182.0,445.0,,,100.0,,828.0,4.568e-05,363000.0,400000.0,,3100000000.0,1300000000.0,,,,2000.0,1.0,0.82,48.4,713.15,,4.3,2257.0,EU231-119-8,3.0,3.0,2.0,RTECSQR5950000,Kalium,s,1.0,4.0,[Ar]3d84s2,Silver,,CAS7440-09-7,CID813,Gmelin15203,,Conductor,14000000.0,7e-08,,,,6.7e-09,2.62e-10,5.74e-06,0.0003,0.0004,0.07,1.5,0.042,0.2,2.43e-10,1.96e-10,2.75e-10,"Im_
3m",229.0,inf,inf,,2S1/2,2.1,0.0018,4.0,1.0
Calcium,Ca,20.0,40.078,1550.0,1115.15,1757.15,Solid,1115.0,1757.0,,,8.54,155.0,-990.0,92.0,,,200.0,2.23e-05,1378.0,2.5857e-05,167000000.0,1750000.0,,17000000000.0,7400000000.0,20000000000.0,0.31,,3810.0,2.0,1.0,2.37,,,4.2,1855.0,EU231-179-5,1.0,3.0,2.0,,,s,2.0,4.0,[Rn]7s2,Silver,,CAS7440-70-2,CID271,Gmelin16277,,Conductor,29000000.0,3.4e-08,,Paramagnetic,,1.38e-08,5.531e-10,2.139e-05,0.007,0.007,1.1,5.0,0.00042,1.4,1.94e-10,1.74e-10,,"Fm_
3m",225.0,inf,inf,,1S0,0.43,0.00037,4.0,2.0
Scandium,Sc,21.0,44.95591,2985.0,1814.15,3103.15,Solid,1814.0,3103.0,,,16.0,318.0,,371.0,,,16.0,1.02e-05,2800.0,1.5061e-05,750000000.0,,,57000000000.0,29000000000.0,74000000000.0,0.28,,,3.0,1.36,18.1,,,4.1,3089.0,EU231-129-2,,,,RTECSLW8600000,,d,3.0,4.0,[Ar]3d104s24p1,Silver,,CAS7440-20-2,CID23952,Gmelin16304,,Conductor,1800000.0,5.5e-07,0.05,,,8.8e-08,3.956e-09,0.0002627,3e-06,4e-06,0.00064,0.0026,1.5e-10,,1.84e-10,1.44e-10,,P63/mmc,194.0,inf,inf,,2D3/2,27.2,0.025,4.0,3.0
Titanium,Ti,22.0,47.867,4507.0,1941.15,3560.15,Solid,1941.0,3560.0,,,18.7,425.0,,99.1,,,22.0,8.6e-06,4110.0,1.0621e-05,716000000.0,6000000.0,970000000.0,110000000000.0,44000000000.0,116000000000.0,0.32,,4140.0,4.0,1.54,7.6,523.15,,4.2,2546.0,EU231-142-3,1.0,1.0,2.0,,,d,4.0,4.0,[Rn]5f26d17s2,Silver,,CAS7440-32-6,CID114942,Gmelin16313,,Conductor,2500000.0,4e-07,0.4,Paramagnetic,,4.01e-08,1.919e-09,0.0001807,0.0003,0.0004,0.054,0.66,1e-07,,1.76e-10,1.36e-10,,P63/mmc,194.0,inf,inf,,3F2,6.1,0.0044,4.0,4.0
Vanadium,V,23.0,50.9415,6110.0,2183.15,3680.15,Solid,2183.0,3680.0,27200000.0,,22.8,453.0,,321.2,,,31.0,8.4e-06,5500.0,8.3374e-06,628000000.0,7000000.0,628000000.0,160000000000.0,47000000000.0,128000000000.0,0.37,,4560.0,5.0,1.63,50.6,,,4.1,3089.0,EU231-171-1,1.0,2.0,0.0,RTECSVS7700000,,d,5.0,4.0,[Ar]3d104s24p4,Silver,,CAS7440-62-2,CID23990,Gmelin49047,,Conductor,5000000.0,2e-07,5.4,,,6.28e-08,3.199e-09,0.0003837,0.0001,4e-05,0.0061,0.019,1.5e-07,3e-06,1.71e-10,1.25e-10,,"Im_
3m",229.0,inf,inf,,4F3/2,5.06,0.0033,4.0,5.0
Chromium,Cr,24.0,51.9961,7140.0,2180.15,2944.15,Solid,2180.0,2944.0,,,20.5,339.0,,,,393.0,94.0,4.9e-06,6300.0,7.2824e-06,1120000000.0,8500000.0,1060000000.0,160000000000.0,115000000000.0,279000000000.0,0.21,,5940.0,6.0,1.66,64.3,673.15,,4.1,3089.0,EU231-157-5,1.0,2.0,1.0,,,d,6.0,4.0,[Rn]5f67s2,Silver,,CAS7440-47-3,CID23976,Gmelin16274,,Conductor,7900000.0,1.3e-07,,Antiferromagnetic,,4.45e-08,2.314e-09,0.0003177,0.0015,0.002,0.3,0.014,6e-08,3e-06,1.66e-10,1.27e-10,,"Im_
3m",229.0,inf,inf,,7S3,3.1,0.0021,4.0,6.0
Manganese,Mn,25.0,54.938049,7470.0,1519.15,2334.15,Solid,1519.0,2334.0,16000000.0,,13.2,220.0,,364.0,,100.0,7.8,2.17e-05,5950.0,7.3545e-06,196000000.0,6000000.0,,120000000000.0,,198000000000.0,,,5150.0,4.0,1.55,0.0,,,4.1,3089.0,EU231-105-1,,,,RTECSVL8500000,,d,7.0,4.0,[Kr]5s1,Silver,,CAS7439-96-5,CID27854,Gmelin699,,Conductor,620000.0,1.6e-06,,Paramagnetic,,1.21e-07,6.6475e-09,0.00090387,0.0008,0.001,0.27,0.11,2e-07,2e-05,1.61e-10,1.39e-10,,"I_
43m",217.0,inf,inf,,6S5/2,13.3,0.0083,4.0,7.0
Iron,Fe,26.0,55.845,7874.0,1811.15,3134.15,Solid,1811.0,3134.0,,,13.8,347.0,,,,,80.0,1.18e-05,6980.0,7.0923e-06,490000000.0,4000000.0,608000000.0,170000000000.0,82000000000.0,211000000000.0,0.29,,4910.0,3.0,1.83,15.7,373.15,,4.1,3089.0,EU231-096-4,1.0,1.0,0.0,,Ferrum,d,8.0,4.0,[Rn]5f97s2,Gray,,CAS7439-89-6,CID23925,Gmelin6845,,Conductor,10000000.0,9.7e-08,,Ferromagnetic,1043.0,,,,0.11,0.1,22.0,6.3,3e-07,0.006,1.56e-10,1.25e-10,,"Im_
3m",229.0,inf,inf,,5D4,2.56,0.0015,4.0,8.0
Cobalt,Co,27.0,58.9332,8900.0,1768.15,3200.15,Solid,1768.0,3200.0,,,16.2,375.0,,278.0,,,100.0,1.3e-05,7750.0,6.62e-06,700000000.0,5000000.0,1043000000.0,180000000000.0,75000000000.0,209000000000.0,0.31,,4720.0,4.0,1.88,63.7,,,4.1,3089.0,EU231-158-0,,,,RTECSZH7070000,,d,9.0,4.0,[Kr]4d25s2,Gray,,CAS7440-48-4,CID104730,Gmelin49017,,Conductor,17000000.0,6e-08,,Ferromagnetic,1394.0,,,,0.0003,0.0004,0.059,0.003,8e-09,2e-06,1.52e-10,1.26e-10,,P63/mmc,194.0,inf,inf,,4F9/2,37.2,0.021,4.0,9.0
Nickel,Ni,28.0,58.6934,8908.0,1728.15,3186.15,Solid,1728.0,3186.0,,,17.2,378.0,,,,,91.0,1.34e-05,7810.0,6.5888e-06,700000000.0,4000000.0,638000000.0,180000000000.0,76000000000.0,200000000000.0,0.31,,4970.0,2.0,1.91,112.0,,,4.1,3089.0,EU231-111-4,4.0,2.0,1.0,,,d,10.0,4.0,[Rn]5f127s2,Gray,,CAS7440-02-0,CID934,Gmelin16229,,Conductor,14000000.0,7e-08,,Ferromagnetic,631.0,,,,0.006,0.008,1.3,0.0089,2e-07,1e-05,1.49e-10,1.21e-10,1.63e-10,"Fm_
3m",225.0,inf,inf,,3F4,37.2,0.0026,4.0,10.0
Copper,Cu,29.0,63.546,8920.0,1357.77,3200.15,Solid,1357.77,3200.0,,,13.1,300.0,,63.0,,,400.0,1.65e-05,8020.0,7.124e-06,874000000.0,3000000.0,369000000.0,140000000000.0,48000000000.0,130000000000.0,0.34,,3570.0,2.0,1.9,118.4,,,4.1,3089.0,EU231-159-6,1.0,1.0,0.0,,Cuprum,d,11.0,4.0,[Kr]4d55s2,Copper,,CAS7440-50-8,CID27099,Gmelin16269,,Conductor,59000000.0,1.7e-08,,Diamagnetic,,-1.08e-09,-6.86e-11,-9.63e-06,6e-06,7e-05,0.011,0.0068,3e-07,0.0001,1.45e-10,1.38e-10,1.4e-10,"Fm_
3m",225.0,inf,inf,,2S1/2,3.78,0.0021,4.0,11.0
Zinc,Zn,30.0,65.409,7140.0,692.68,1180.15,Solid,692.68,1180.0,,,7.35,119.0,,,,,120.0,3.02e-05,6570.0,9.161e-06,412000000.0,2500000.0,,70000000000.0,43000000000.0,108000000000.0,0.25,1.00205,3700.0,2.0,1.65,0.0,733.15,,4.3,1436.0,EU231-175-3,0.0,2.0,0.0,,,d,12.0,4.0,[Rn]5f147s27p1,SlateGray,,CAS7440-66-6,CID23994,Gmelin16321,,Conductor,17000000.0,5.9e-08,0.85,Diamagnetic,,-2.21e-09,-1.45e-10,-1.58e-05,3e-05,0.0002,0.018,0.0078,5e-07,0.0033,1.42e-10,1.31e-10,1.39e-10,P63/mmc,194.0,inf,inf,,1S0,1.1,0.00055,4.0,12.0
Gallium,Ga,31.0,69.723,5904.0,302.91,2477.15,Solid,302.91,2477.0,,,5.59,256.0,,240.0,,,29.0,0.00012,6095.0,1.1809e-05,60000000.0,1500000.0,,,,,,,2740.0,3.0,1.81,28.9,,,8.0,2803.0,EU231-163-8,0.0,1.0,0.0,RTECSRT3480500,,p,13.0,4.0,[Kr]4d10,Silver,,CAS7440-55-3,CID5360835,Gmelin16287,,Conductor,7100000.0,1.4e-07,1.083,Diamagnetic,,-3e-09,-2.09e-10,-1.77e-05,1e-06,4e-06,0.00076,0.0019,3e-09,,1.36e-10,1.26e-10,1.87e-10,Cmca,64.0,inf,inf,,2P1/2,2.9,0.0015,4.0,13.0
Germanium,Ge,32.0,72.64,5323.0,1211.45,3093.15,Solid,1211.4,3093.0,,,31.8,334.0,-536.0,,,,60.0,6e-06,5600.0,1.3646e-05,,6000000.0,,,,,,,5400.0,4.0,2.01,119.0,,,4.1,3089.0,EU231-164-3,0.0,1.0,0.0,,,p,14.0,4.0,[Rn]5f146d47s2,Gray,,CAS7440-56-4,CID6326954,Gmelin93634,,Semiconductor,2000.0,0.0005,,Diamagnetic,,-1.5e-09,-1.09e-10,-7.98e-06,2e-05,2e-05,0.0021,0.00014,6e-09,,1.25e-10,1.22e-10,,"Fm_
3m",225.0,inf,inf,,3P0,2.2,0.0011,4.0,14.0
