Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Heat_of_Combustion,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,Autoignition_Point,Flashpoint,DOT_Hazard_Class,DOT_Numbers,EU_Number,NFPA_Fire_Rating,NFPA_Health_Rating,NFPA_Reactivity_Rating,RTECS_Number,Alternate_Names,Block,Group,Period,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Gmelin_Number,NSC_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption,Graph.Period,Graph.Group
Arsenic,As,33.0,74.9216,5727.0,1090.15,887.15,Solid,1090.0,887.0,,,27.7,32.4,,233.0,,,50.0,,5220.0,1.3082e-05,1440000000.0,3500000.0,,22000000000.0,,8000000000.0,,1.001552,,5.0,2.18,78.0,,,6.1,1558.0,EU231-148-6,2.0,3.0,,RTECSNL1050000,,p,15.0,4.0,[Kr]4d105s25p1,Silver,,CAS7440-38-2,CID5359596,Gmelin16247,,Conductor,3300000.0,3e-07,,Diamagnetic,,-3.9e-09,-2.92e-10,-2.23e-05,8e-07,,0.00018,0.00021,2.3e-07,5e-06,1.14e-10,1.19e-10,1.85e-10,"R_
3m",166.0,inf,inf,,4S3/2,4.3,0.002,4.0,15.0
Selenium,Se,34.0,78.96,4819.0,494.15,958.15,Solid,494.0,958.0,,1766.0,5.4,26.0,,,,,0.52,,3990.0,1.6385e-05,736000000.0,2000000.0,,8300000000.0,3700000000.0,10000000000.0,0.33,1.000895,3350.0,6.0,2.55,195.0,,,6.1,2658.0,EU231-957-4,0.0,2.0,0.0,,,p,16.0,4.0,[Rn]5f146d77s2,Gray,,CAS7782-49-2,CID107674,Gmelin8872,NSC605850,,,,,Diamagnetic,,-4e-09,-3.16e-10,-1.93e-05,3e-06,,0.0013,5e-06,4.5e-08,5e-06,1.03e-10,1.16e-10,1.9e-10,P121/c1,14.0,inf,inf,,3P2,11.7,0.0056,4.0,16.0
Bromine,Br,35.0,79.904,3120.0,265.85,332.15,Liquid,265.8,332.0,,588.0,5.8,14.8,,201.0,,,0.12,,3120.0,2.561e-05,,,,1900000000.0,,,,1.001132,,7.0,2.96,324.6,,255.15,8.0,1744.0,EU231-778-1,0.0,3.0,0.0,RTECSWY2625000,,p,17.0,4.0,[Kr]4d105s25p4,Red,,CAS7726-95-6,CID24408,Gmelin1182,,Insulator,1e-10,10000000000.0,,Diamagnetic,,-4.9e-09,-3.92e-10,-1.53e-05,7e-07,,0.00012,0.0003,0.0067,0.00029,9.4e-11,1.14e-10,1.85e-10,Cmca,64.0,inf,inf,,2P3/2,6.8,0.002,4.0,17.0
Krypton,Kr,36.0,83.798,3.75,115.79,119.93,Gas,115.79,119.93,,209.41,1.64,9.02,,,5/3,,0.00943,,,0.02235,,,,,,,,1.000427,1120.0,2.0,3.0,0.0,,,2.2,1970.0,EU231-098-5,,,,,,p,18.0,4.0,[Rn]5f146d107s2,Colorless,Monoatomic,CAS7439-90-9,CID5416,Gmelin16201,,,,,,Diamagnetic,,-4.4e-09,-3.69e-10,-1.65e-08,4e-06,,,1.5e-08,2.1e-08,,8.8e-11,1.1e-10,2.02e-10,"Fm_
3m",225.0,inf,inf,,1S0,25.0,0.013,4.0,18.0
Rubidium,Rb,37.0,85.4678,1532.0,312.46,961.15,Solid,312.46,961.0,9400000.0,2093.0,2.19,72.0,,242.0,,,58.0,,1460.0,5.5788e-05,216000.0,300000.0,,2500000000.0,,2400000000.0,,,1300.0,1.0,0.82,46.9,,,4.3,1423.0,EU231-126-6,3.0,2.0,,RTECSFK9225000,,s,1.0,5.0,[Xe]6s1,Silver,,CAS7440-17-7,CID5357696,Gmelin16244,,Conductor,8300000.0,1.2e-07,,,,2.6e-09,2.22e-10,3.98e-06,1e-06,3e-06,0.00032,0.006,1.2e-05,0.00046,2.65e-10,2.11e-10,,"Im_
3m",229.0,inf,inf,,2S1/2,0.38,0.0003,5.0,1.0
Strontium,Sr,38.0,87.62,2630.0,1050.15,1655.15,Solid,1050.0,1655.0,,,8.0,137.0,,,,,35.0,2.25e-05,6980.0,3.3316e-05,,1500000.0,,,6100000000.0,,0.28,,,2.0,0.95,5.03,,,4.2,1383.0,EU231-133-4,,,,,,s,2.0,5.0,[Rn]5f146d107s27p3,Silver,,CAS7440-24-6,CID104798,Gmelin16302,,Conductor,7700000.0,1.3e-07,,Paramagnetic,,-2.5e-09,-2.19e-10,-6.58e-06,4e-06,5e-06,0.00087,0.036,0.00081,0.00046,2.19e-10,1.92e-10,,"Fm_
3m",225.0,inf,inf,,1S0,1.2,0.0005,5.0,2.0
Yttrium,Y,39.0,88.90585,4472.0,1799.15,3618.15,Solid,1799.0,3618.0,,,11.4,380.0,,192.0,,,17.0,1.06e-05,4240.0,1.9881e-05,589000000.0,,,41000000000.0,26000000000.0,64000000000.0,0.24,,3300.0,3.0,1.22,29.6,,,4.1,3089.0,EU231-174-8,2.0,,,RTECSFK4850000,,d,3.0,5.0,[Xe]4f15d16s2,Silver,,CAS7440-65-5,CID23993,Gmelin16319,,Conductor,1800000.0,5.6e-07,1.3,,,6.66e-08,5.921e-09,0.0002978,7e-07,1e-06,0.00019,0.0029,1.3e-09,,2.12e-10,1.62e-10,,P63/mmc,194.0,inf,inf,,2D3/2,1.28,0.0006,5.0,3.0
Zirconium,Zr,40.0,91.224,6511.0,2128.15,4682.15,Solid,2128.0,4682.0,,,21.0,580.0,,193.0,,,23.0,5.7e-06,5800.0,1.4011e-05,650000000.0,5000000.0,903000000.0,,33000000000.0,68000000000.0,0.34,,3800.0,4.0,1.33,41.1,,,4.2,2008.0,EU231-176-9,1.0,1.0,0.0,,,d,4.0,5.0,[Xe]4f36s2,Silver,,CAS7440-67-7,CID23995,Gmelin16322,,Conductor,2400000.0,4.2e-07,0.61,Paramagnetic,,1.66e-08,1.514e-09,0.0001081,5e-06,4e-06,0.00066,0.013,2.6e-09,5e-06,2.06e-10,1.48e-10,,P63/mmc,194.0,inf,inf,,3F2,0.184,0.00066,5.0,4.0
Niobium,Nb,41.0,92.90638,8570.0,2750.15,5017.15,Solid,2750.0,5017.0,,,26.8,690.0,,190.0,,,54.0,7.3e-06,,1.0841e-05,736000000.0,6000000.0,1320000000.0,170000000000.0,38000000000.0,105000000000.0,0.4,,3480.0,5.0,1.6,86.1,,,,,EU231-113-5,,,,RTECSQO8575000,,d,5.0,5.0,[Xe]4f46s2,Gray,,CAS7440-03-1,CID23936,Gmelin16213,,Conductor,6700000.0,1.5e-07,9.25,,,2.81e-08,2.611e-09,0.0002408,2e-07,4e-07,1.9e-05,0.0017,1e-10,,1.98e-10,1.37e-10,,"Im_
3m",229.0,inf,inf,,6D1/2,1.15,0.0004,5.0,5.0
Molybdenum,Mo,42.0,95.94,10280.0,2896.15,4912.15,Solid,2896.0,4912.0,67000000.0,,36.0,600.0,,3570.0,,,139.0,4.8e-06,9330.0,9.333e-06,1500000000.0,5500000.0,1530000000.0,230000000000.0,20000000000.0,329000000000.0,0.31,,6190.0,6.0,2.16,71.9,,,4.1,3089.0,EU231-107-2,3.0,1.0,0.0,RTECSOJ5540000,,d,6.0,5.0,[He]2s1,Gray,,CAS7439-98-7,CID23932,Gmelin16205,NSC600660,Conductor,20000000.0,5e-08,0.915,Paramagnetic,,1.17e-08,1.122e-09,0.0001203,5e-07,9e-07,0.00012,0.00011,1e-06,1e-05,1.9e-10,1.45e-10,,"Im_
3m",229.0,inf,inf,,7S3,2.6,0.0009,5.0,6.0
Technetium,Tc,43.0,98.0,11500.0,2430.15,4538.15,Solid,2430.0,4538.0,,,23.0,550.0,,182.0,,,51.0,,,8.522e-06,,,,,,,,,,7.0,1.9,53.0,,,,,,,,,,,d,7.0,5.0,[Xe]4f76s2,Silver,,CAS7440-26-8,,,,Conductor,5000000.0,2e-07,7.8,,,3.42e-08,3.352e-09,0.0003933,,0.0,0.0,0.0,0.0,0.0,1.83e-10,1.56e-10,,P63/mmc,194.0,129944800000000.0,189870800000000.0,BetaDecay,6S5/2,22.0,,5.0,7.0
Ruthenium,Ru,44.0,101.07,12370.0,2607.15,4423.15,Solid,2607.0,4423.0,,,25.7,580.0,,710.0,,,120.0,6.4e-06,10650.0,8.1706e-06,2160000000.0,6500000.0,,220000000000.0,173000000000.0,447000000000.0,0.3,,5970.0,6.0,2.2,101.3,,,4.1,3089.0,EU231-127-1,,,,RTECSFF5250100,,d,8.0,5.0,[He]2s22p2,Silver,,CAS7440-18-8,CID23950,Gmelin16241,,Conductor,14000000.0,7.1e-08,0.49,Paramagnetic,,5.4e-09,5.46e-10,6.68e-05,4e-07,5e-07,8.1e-05,9.9e-08,7e-11,,1.78e-10,1.26e-10,,P63/mmc,194.0,inf,inf,,5F5,2.6,0.0009,5.0,8.0
Rhodium,Rh,45.0,102.9055,12450.0,2237.15,3968.15,Solid,2237.0,3968.0,,,21.7,495.0,,167.0,,,150.0,8.2e-06,10700.0,8.2655e-06,1100000000.0,6000000.0,1246000000.0,380000000000.0,150000000000.0,275000000000.0,0.26,,4700.0,6.0,2.28,109.7,,,4.1,3089.0,EU231-125-0,,,,,,d,9.0,5.0,[Xe]4f106s2,Silver,,CAS7440-16-6,CID23948,Gmelin16245,,Conductor,23000000.0,4.3e-08,,Paramagnetic,,1.32e-08,1.358e-09,0.0001643,6e-08,2e-07,1.8e-05,7e-08,,,1.73e-10,1.35e-10,,"Fm_
3m",225.0,inf,inf,,4F9/2,145.0,0.063,5.0,9.0
Palladium,Pd,46.0,106.42,12023.0,1828.05,3236.15,Solid,1828.05,3236.0,5172000.0,,16.7,380.0,,824.0,,,72.0,1.18e-05,10380.0,8.8514e-06,37300000.0,4750000.0,461000000.0,180000000000.0,44000000000.0,121000000000.0,0.39,,3070.0,4.0,2.2,53.7,,,4.2,3200.0,EU231-115-6,0.0,1.0,0.0,RTECSLM6475000,,d,10.0,5.0,[He]2s22p5,Silver,,CAS7440-05-3,CID23938,Gmelin16239,,Conductor,10000000.0,1e-07,,Paramagnetic,,6.57e-08,6.992e-09,0.0007899,2e-07,3e-07,6.6e-05,6.3e-07,,,1.69e-10,1.31e-10,1.63e-10,"Fm_
3m",225.0,inf,inf,,1S0,6.9,0.0023,5.0,10.0
Silver,Ag,47.0,107.8682,10490.0,1234.93,2435.15,Solid,1234.93,2435.0,,,11.3,255.0,,160.0,,,430.0,1.89e-05,9320.0,1.0283e-05,24500000.0,2500000.0,251000000.0,100000000000.0,30000000000.0,83000000000.0,0.37,,2600.0,2.0,1.93,125.6,,,,,EU231-131-3,0.0,1.0,0.0,,Argentum,d,11.0,5.0,[Xe]4f136s2,Silver,,CAS7440-22-4,CID104755,Gmelin1253,,Conductor,62000000.0,1.6e-08,,Diamagnetic,,-2.3e-09,-2.48e-10,-2.41e-05,6e-08,1e-07,1.4e-05,7.9e-06,1e-08,,1.65e-10,1.53e-10,1.72e-10,"Fm_
3m",225.0,inf,inf,,2S1/2,63.6,0.02,5.0,11.0
Cadmium,Cd,48.0,112.411,8650.0,594.22,1040.15,Solid,594.22,1040.0,,,6.3,100.0,,1020.0,,,97.0,3.08e-05,7996.0,1.2995e-05,203000000.0,2000000.0,,42000000000.0,19000000000.0,50000000000.0,0.3,,2310.0,2.0,1.69,0.0,523.15,,6.1,2570.0,EU231-152-8,2.0,2.0,0.0,RTECSOM3850000,,d,12.0,5.0,[Ne]3s2,Silver,,CAS7440-43-9,CID23973,Gmelin16276,,Conductor,14000000.0,7e-08,0.517,Diamagnetic,,-2.3e-09,-2.59e-10,-1.99e-05,2e-07,6e-07,4.4e-05,1.5e-05,5e-09,7e-05,1.61e-10,1.48e-10,1.58e-10,P63/mmc,194.0,inf,inf,,1S0,2450.0,1.4,5.0,12.0
Indium,In,49.0,114.818,7310.0,429.75,2345.15,Solid,429.75,2345.0,,,3.26,230.0,,144.0,,,82.0,3.21e-05,7020.0,1.5707e-05,8830000.0,1200000.0,,,,11000000000.0,,,1215.0,3.0,1.78,28.9,,,4.1,3089.0,EU231-180-0,,,,RTECSMG4600000,,p,13.0,5.0,[Xe]4f145d26s2,Silver,,CAS7440-74-6,CID5359967,Gmelin1081,,Conductor,12000000.0,8e-08,3.41,Diamagnetic,,-1.4e-09,-1.61e-10,-1.02e-05,3e-08,4e-07,4.4e-06,1.6e-05,1e-11,,1.56e-10,1.44e-10,1.93e-10,I4/mmm,139.0,inf,inf,,2P1/2,194.0,0.06,5.0,13.0
Tin,Sn,50.0,118.71,7310.0,505.08,2875.15,Solid,505.08,2875.0,,,7.0,290.0,,769.7,,,67.0,2.2e-05,6990.0,1.6239e-05,51000000.0,1500000.0,,58000000000.0,18000000000.0,50000000000.0,0.36,,2500.0,4.0,1.96,107.3,903.15,,,,EU231-141-8,3.0,1.0,3.0,RTECSTH3500000,Stannum,p,14.0,5.0,[Ne]3s23p3,Silver,,CAS7440-31-5,CID5352426,Gmelin16300,,Conductor,9100000.0,1.1e-07,3.72,Paramagnetic,,-3.1e-09,-3.68e-10,-2.27e-05,4e-07,9e-07,0.00012,0.00022,1e-09,2e-05,1.45e-10,1.41e-10,2.17e-10,I41/amd,141.0,inf,inf,,3P0,0.63,0.0002,5.0,14.0
Antimony,Sb,51.0,121.76,6697.0,903.78,1860.15,Solid,903.78,1860.0,,,19.7,68.0,,137.0,,,24.0,1.1e-05,6530.0,1.8181e-05,294000000.0,3000000.0,,42000000000.0,20000000000.0,55000000000.0,,,3420.0,5.0,2.05,103.2,,,,,,,,,RTECSVI0780000,Stibium,p,15.0,5.0,[Xe]4f145d56s2,Silver,,CAS7440-36-0,,,,Conductor,2500000.0,4e-07,,Diamagnetic,,-1.09e-08,-1.327e-09,-7.3e-05,4e-08,1e-07,1.2e-05,2e-05,2e-08,,1.33e-10,1.38e-10,,"R_
3m",166.0,inf,inf,,4S3/2,5.4,0.0016,5.0,15.0
Tellurium,Te,52.0,127.6,6240.0,722.66,1261.15,Solid,722.66,1261.0,4898000.0,,17.5,48.0,,520.33,,,3.0,,5700.0,2.0449e-05,180000000.0,2250000.0,,65000000000.0,16000000000.0,43000000000.0,,1.000991,2610.0,6.0,2.1,190.2,613.15,,6.1,2811.0,EU236-813-4,0.0,2.0,0.0,RTECSCF2300000,,p,16.0,5.0,[Ne]3s23p6,Silver,,CAS13494-80-9,CID6327182,Gmelin1153,NSC8956,Semiconductor,10000.0,0.0001,,Diamagnetic,,-3.9e-09,-4.98e-10,-2.43e-05,9e-07,,0.00021,9.9e-08,,,1.23e-10,1.35e-10,2.06e-10,P3121,152.0,inf,inf,,3P2,5.4,0.0013,5.0,16.0
Iodine,I,53.0,126.90447,4940.0,386.85,457.45,Solid,386.85,457.4,,819.0,7.76,20.9,,133.0,,,0.449,,,2.5689e-05,,,,7700000000.0,,,,,,7.0,2.66,295.2,,,8.0,1759.0,EU231-442-4,0.0,3.0,0.0,RTECSTP2160000,,p,17.0,5.0,[Xe]4f145d96s1,SlateGray,,CAS7553-56-2,CID807,Gmelin1160,NSC42355,Insulator,1e-07,10000000.0,,,,-4.5e-09,-5.71e-10,-2.22e-05,1e-07,,2.5e-05,4.9e-05,6e-06,2e-05,1.15e-10,1.33e-10,1.98e-10,Cmca,64.0,inf,inf,,2P3/2,6.2,0.0018,5.0,17.0
Xenon,Xe,54.0,131.293,5.9,161.35,165.15,Gas,161.3,165.1,,289.77,2.3,12.64,,567.0,5/3,,0.00565,,,0.0223,,,,,,,,1.000702,1090.0,6.0,2.6,0.0,,,2.2,2591.0,EU231-172-7,,,,,,p,18.0,5.0,[Ar]3d14s2,Colorless,Monoatomic,CAS7440-63-3,CID23991,Gmelin1125,,,,,,Diamagnetic,,-4.3e-09,-5.65e-10,-2.54e-08,1e-06,,,2e-09,5e-10,,1.08e-10,1.3e-10,2.16e-10,"Fm_
3m",225.0,inf,inf,,1S0,25.0,0.0083,5.0,18.0
Cesium,Cs,55.0,132.90545,1879.0,301.59,944.15,Solid,301.59,944.0,,1938.0,2.09,65.0,,129.0,,,36.0,,1843.0,7.0732e-05,140000.0,200000.0,,1600000000.0,,1700000000.0,,,,1.0,0.79,45.5,,,4.3,1407.0,EU231-155-4,,,,RTECSXG3425000,Caesium,s,1.0,6.0,[Xe]4f145d106s26p1,Silver,,CAS7440-46-2,CID5354618,Gmelin15188,,Conductor,5000000.0,2e-07,,,,-2.8e-09,-3.72e-10,-5.26e-06,8e-08,8e-07,1.4e-05,0.00019,5e-08,2e-06,2.98e-10,2.25e-10,,"Im_
3m",229.0,inf,inf,,2S1/2,29.0,0.0077,6.0,1.0
Barium,Ba,56.0,137.327,3510.0,1000.15,2143.15,Solid,1000.0,2143.0,,,8.0,140.0,,448.0,,,18.0,2.06e-05,3338.0,3.9125e-05,,1250000.0,,9600000000.0,4900000000.0,13000000000.0,,,1620.0,2.0,0.89,13.95,,,4.3,1400.0,EU231-149-1,1.0,2.0,2.0,RTECSGB4200000,,s,2.0,6.0,[Ar]3d54s1,Silver,,CAS7440-39-3,CID5355457,Gmelin16266,,Conductor,2900000.0,3.5e-07,,Paramagnetic,,1.13e-08,1.552e-09,3.966e-05,1e-06,1e-06,0.00027,0.034,3e-06,3e-05,2.53e-10,1.98e-10,,"Im_
3m",229.0,inf,inf,,1S0,1.3,0.00027,6.0,2.0
Lanthanum,La,57.0,138.9055,6146.0,1193.15,3737.15,Solid,1193.0,3737.0,,,6.2,400.0,,,,,13.0,1.21e-05,5940.0,2.2601e-05,363000000.0,2500000.0,491000000.0,28000000000.0,14000000000.0,37000000000.0,0.28,,2475.0,3.0,1.1,48.0,,,,,,,,,,,f,,6.0,[Xe]4f145d106s26p4,Silver,,CAS7439-91-0,,,,Conductor,1600000.0,6.1e-07,4.88,,,1.1e-08,1.528e-09,6.761e-05,2e-07,2e-07,2.8e-05,0.0034,3.4e-10,,,1.69e-10,,P63/mmc,194.0,inf,inf,,2D3/2,8.98,0.0023,8.5,3.0
Cerium,Ce,58.0,140.116,6689.0,1071.15,3633.15,Solid,1071.0,3633.0,,,5.5,350.0,,421.0,,12.5,11.0,6.3e-06,6550.0,2.0947e-05,412000000.0,2500000.0,270000000.0,22000000000.0,14000000000.0,34000000000.0,0.24,,2100.0,4.0,1.12,50.0,,,4.1,1333.0,EU231-154-9,3.0,2.0,2.0,RTECSGF8750000,,f,,6.0,[Ar]3d74s2,Silver,,CAS7440-45-1,CID23974,Gmelin16275,NSC158935,Conductor,1400000.0,7.4e-07,0.022,Paramagnetic,,2.2e-07,3.0826e-08,0.0014716,1e-06,4e-07,7.5e-05,0.006,1.2e-10,,,,,P63/mmc,194.0,inf,inf,,1G4,0.6,0.00021,8.5,4.0
Praseodymium,Pr,59.0,140.90765,6640.0,1204.15,3563.15,Solid,1204.0,3563.0,,,6.9,330.0,,,,,13.0,6.7e-06,6500.0,2.1221e-05,481000000.0,,400000000.0,29000000000.0,15000000000.0,37000000000.0,0.28,,2280.0,4.0,1.13,50.0,,,,,EU231-120-3,,,,,,f,,6.0,[Rn]7s1,Silver,,CAS7440-10-0,CID23942,Gmelin16238,,Conductor,1400000.0,7e-07,,,,4.23e-07,5.9604e-08,0.0028087,2e-07,1e-07,9.8e-06,0.00086,6e-11,,2.47e-10,,,P63/mmc,194.0,inf,inf,,4I9/2,11.4,0.0029,8.5,5.0
Neodymium,Nd,60.0,144.24,7010.0,1294.15,3373.15,Solid,1294.0,3373.0,,,7.1,285.0,,388.0,,19.2,17.0,9.6e-06,6890.0,2.0576e-05,265000000.0,,343000000.0,32000000000.0,16000000000.0,41000000000.0,0.28,,2330.0,3.0,1.14,50.0,,,,,EU231-109-3,,,,RTECSZG8600000,,f,,6.0,[Ar]3d104s2,Silver,,CAS7440-00-8,CID23934,Gmelin16212,,Conductor,1600000.0,6.4e-07,,Paramagnetic,,4.8e-07,6.9235e-08,0.0033648,1e-06,3e-07,5e-05,0.0033,2.8e-10,,2.06e-10,,,P63/mmc,194.0,inf,inf,,5I4,49.0,0.011,8.5,6.0
Promethium,Pm,61.0,145.0,7264.0,1373.15,3273.15,Solid,1373.0,3273.0,,,7.7,290.0,,118.0,,,15.0,1.1e-05,,1.9961e-05,,,,33000000000.0,18000000000.0,46000000000.0,0.28,,,3.0,,50.0,,,,,,,,,RTECSXO6400000,,f,,6.0,[Rn]6d27s2,Silver,,CAS7440-12-2,,,,Conductor,1300000.0,7.5e-07,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.05e-10,,,,,559204200.0,806162400.0,ElectronCapture,6H5/2,8000.0,,8.5,7.0
Samarium,Sm,62.0,150.36,7353.0,1345.15,2076.15,Solid,1345.0,2076.0,,,8.6,175.0,,328.0,,106.0,13.0,1.27e-05,7160.0,2.0449e-05,441000000.0,,412000000.0,38000000000.0,20000000000.0,50000000000.0,0.27,,2130.0,3.0,1.17,50.0,423.15,,4.1,1325.0,EU231-128-7,1.0,1.0,1.0,RTECSCG0525000,,f,,6.0,[Ar]3d104s24p3,Silver,,CAS7440-19-9,CID23951,Gmelin16301,,Conductor,1100000.0,9.4e-07,,Paramagnetic,,1.11e-07,1.669e-08,0.00081618,5e-07,1e-07,1.7e-05,0.0006,4.5e-11,,2.38e-10,,,"R_
3m",166.0,inf,inf,,7F0,5900.0,4.7,8.5,8.0
Europium,Eu,63.0,151.964,5244.0,1095.15,1800.15,Solid,1095.0,1800.0,,,9.2,175.0,,,,90.5,14.0,3.5e-05,5130.0,2.8979e-05,,,167000000.0,8300000000.0,7900000000.0,18000000000.0,0.15,,,3.0,,50.0,,,,,EU231-161-7,,,,,,f,,6.0,[Rn]5f46d17s2,Silver,,CAS7440-53-1,CID23981,Gmelin15985,,Conductor,1100000.0,9e-07,,Paramagnetic,,2.76e-07,4.1942e-08,0.0014473,5e-08,5e-08,5.9e-06,0.00018,1.3e-11,,2.31e-10,,,"Im_
3m",229.0,inf,inf,,8S7/2,4450.0,0.6,8.5,9.0
Gadolinium,Gd,64.0,157.25,7901.0,1586.15,3523.15,Solid,1586.0,3523.0,5500000.0,,10.0,305.0,,248.05,,,11.0,9.4e-06,7400.0,1.9903e-05,,,570000000.0,38000000000.0,22000000000.0,55000000000.0,0.26,,2680.0,3.0,1.2,50.0,,,,,EU231-162-2,,,,RTECSOC6772500,,f,,6.0,[Ar]3d104s24p6,Silver,,CAS7440-54-2,CID23982,Gmelin16286,,Conductor,770000.0,1.3e-06,1.083,Ferromagnetic,292.0,,,,2e-07,2e-07,2.3e-05,0.00052,7e-11,,2.33e-10,,,P63/mmc,194.0,inf,inf,,9D2,49000.0,7.3,8.5,10.0
Terbium,Tb,65.0,158.92534,8219.0,1629.15,3503.15,Solid,1629.0,3503.0,,,10.8,295.0,,,,230.0,11.0,1.03e-05,7650.0,1.9336e-05,677000000.0,,863000000.0,38700000000.0,22000000000.0,56000000000.0,0.26,,2620.0,3.0,,50.0,,,,,EU231-137-6,,,,,,f,,6.0,[Rn]5f76d17s2,Silver,,CAS7440-27-9,CID23958,Gmelin16311,,Conductor,830000.0,1.2e-06,,Paramagnetic,222.0,1.36e-05,2.161385e-06,0.1117784,5e-08,1e-08,3.9e-06,9.3e-05,1.4e-11,,2.25e-10,,,P63/mmc,194.0,inf,inf,,6H15/2,23.0,0.009,8.5,11.0
Dysprosium,Dy,66.0,162.5,8551.0,1685.15,2840.15,Solid,1685.0,2840.0,,,11.1,280.0,,298.0,,178.0,11.0,9.9e-06,8370.0,1.9004e-05,500000000.0,,540000000.0,41000000000.0,25000000000.0,61000000000.0,0.25,,2710.0,3.0,1.22,50.0,,,,,EU231-073-9,,,,RTECSZG2980000,,f,,6.0,[Kr]4d15s2,Silver,,CAS7429-91-6,CID23912,Gmelin16278,,Conductor,1100000.0,9.1e-07,,Paramagnetic,87.0,5.45e-06,8.85625e-07,0.046603,2e-07,2e-07,2.7e-05,0.00062,9.1e-11,,2.28e-10,,,P63/mmc,194.0,inf,inf,,5I8,1010.0,0.2,8.5,12.0
Holmium,Ho,67.0,164.93032,8795.0,1747.15,2973.15,Solid,1747.0,2973.0,,,17.0,265.0,,,,132.0,16.0,1.12e-05,8340.0,1.8753e-05,746000000.0,,481000000.0,40000000000.0,26000000000.0,65000000000.0,0.23,,2760.0,3.0,1.23,50.0,,,4.1,3089.0,EU231-169-0,,,,,,f,,6.0,[Rn]5f117s2,Silver,,CAS7440-60-0,CID23988,Gmelin16291,,Conductor,1100000.0,9.4e-07,,Paramagnetic,20.0,5.49e-06,9.05467e-07,0.0482845,5e-08,0.0,5.9e-06,0.00012,2.2e-11,,2.26e-10,,,P63/mmc,194.0,inf,inf,,4I15/2,65.0,0.015,8.5,13.0
