Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Heat_of_Combustion,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,Autoignition_Point,Flashpoint,DOT_Hazard_Class,DOT_Numbers,EU_Number,NFPA_Fire_Rating,NFPA_Health_Rating,NFPA_Reactivity_Rating,RTECS_Number,Alternate_Names,Block,Group,Period,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Gmelin_Number,NSC_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption,Graph.Period,Graph.Group
Erbium,Er,68.0,167.259,9066.0,1770.15,3141.15,Solid,1770.0,3141.0,,,19.9,285.0,,251.0,,82.0,15.0,1.22e-05,8860.0,1.8449e-05,814000000.0,,589000000.0,44000000000.0,28000000000.0,70000000000.0,0.24,,2830.0,3.0,1.24,50.0,,,,,EU231-160-1,,,,RTECSQA4680000,,f,,6.0,[Kr]4d55s1,Silver,,CAS7440-52-0,CID23980,Gmelin16280,,Conductor,1200000.0,8.6e-07,,Paramagnetic,32.0,3.77e-06,6.30566e-07,0.0341788,2e-07,1e-07,1.8e-05,0.0003,9e-11,,2.26e-10,,,P63/mmc,194.0,inf,inf,,3H6,165.0,0.036,8.5,14.0
Thulium,Tm,69.0,168.93421,9321.0,1818.15,2223.15,Solid,1818.0,2223.0,,,16.8,250.0,,,,56.0,17.0,1.33e-05,8560.0,1.8124e-05,471000000.0,,520000000.0,45000000000.0,31000000000.0,74000000000.0,0.21,,,3.0,1.25,50.0,,,4.1,3089.0,EU231-140-2,,,,,,f,,6.0,[Rn]5f147s2,Silver,,CAS7440-30-4,CID23961,Gmelin16307,,Conductor,1400000.0,7e-07,,Paramagnetic,25.0,1.99e-06,3.36179e-07,0.0185488,1e-08,2e-08,2.9e-06,4.5e-05,2e-11,,2.22e-10,,,P63/mmc,194.0,inf,inf,,2F7/2,105.0,0.025,8.5,15.0
Ytterbium,Yb,70.0,173.04,6570.0,1092.15,1469.15,Solid,1092.0,1469.0,,,7.7,160.0,,240.0,,,39.0,2.63e-05,6210.0,2.6338e-05,343000000.0,,206000000.0,31000000000.0,9900000000.0,24000000000.0,0.21,,1590.0,3.0,,50.0,,,,,EU231-173-2,,,,RTECSVI9069000,,f,,6.0,[Kr]4d85s1,Silver,,CAS7440-64-4,CID23992,Gmelin16014,,Conductor,3600000.0,2.8e-07,,,,5.9e-09,1.02e-09,3.88e-05,2e-07,1e-07,1.8e-05,0.00028,8e-11,,2.22e-10,,,"Fm_
3m",225.0,inf,inf,,1S0,35.0,0.0076,8.5,16.0
Lutetium,Lu,71.0,174.967,9841.0,1936.15,3675.15,Solid,1936.0,3675.0,,,22.0,415.0,,,,,16.0,9.9e-06,9300.0,1.7779e-05,893000000.0,,1160000000.0,48000000000.0,27000000000.0,69000000000.0,0.26,,,3.0,1.27,50.0,,,4.1,3089.0,EU231-103-0,,,,,,d,3.0,6.0,[Rn]5f146d37s2,Silver,,CAS7439-94-3,CID23929,Gmelin16202,,Conductor,1800000.0,5.6e-07,0.1,,,1.2e-09,2.1e-10,1.18e-05,1e-08,1e-07,2.9e-06,5.6e-05,1.5e-11,,2.17e-10,1.6e-10,,P63/mmc,194.0,inf,inf,,2D3/2,84.0,0.022,8.5,17.0
Hafnium,Hf,72.0,178.49,13310.0,2506.15,4876.15,Solid,2506.0,4876.0,,,25.5,630.0,,230.0,,,23.0,5.9e-06,12000.0,1.34102e-05,1700000000.0,5500000.0,1760000000.0,110000000000.0,30000000000.0,78000000000.0,0.37,,3010.0,4.0,1.3,0.0,,,4.2,2545.0,EU231-166-4,,,,RTECSEU9800000,,d,4.0,6.0,[Kr]4d105s2,Gray,,CAS7440-58-6,CID23986,Gmelin16293,,Conductor,3300000.0,3e-07,0.128,,,5.3e-09,9.46e-10,7.05e-05,7e-08,1e-07,1.7e-05,0.00033,8e-10,,2.08e-10,1.5e-10,,P63/mmc,194.0,inf,inf,,3F2,104.0,0.02,6.0,4.0
Tantalum,Ta,73.0,180.9479,16650.0,3290.15,5731.15,Solid,3290.0,5731.0,,,36.0,735.0,,,,,57.0,6.3e-06,15000.0,1.08677e-05,800000000.0,6500000.0,873000000.0,200000000000.0,69000000000.0,186000000000.0,0.34,,3400.0,5.0,1.5,31.0,,,4.1,3089.0,EU231-135-5,,,,,,d,5.0,6.0,[Rn]5f146d67s2,Gray,,CAS7440-25-7,CID23956,Gmelin16312,,Conductor,7700000.0,1.3e-07,4.47,,,1.07e-08,1.936e-09,0.0001782,8e-09,,2e-06,0.00017,2e-10,,2e-10,1.38e-10,,"Im_
3m",229.0,inf,inf,,4F3/2,20.5,0.0041,6.0,5.0
Tungsten,W,74.0,183.84,19250.0,3695.15,5828.15,Solid,3695.0,5828.0,,,35.0,800.0,,207.0,,,170.0,4.5e-06,17600.0,9.5501e-06,2570000000.0,7500000.0,3430000000.0,310000000000.0,161000000000.0,411000000000.0,0.28,,5174.0,6.0,2.36,78.6,,,4.1,3089.0,EU231-143-9,2.0,1.0,1.0,,Wolfram,d,6.0,6.0,[Kr]4d105s25p3,Gray,,CAS7440-33-7,CID23964,Gmelin16317,,Conductor,20000000.0,5e-08,0.015,Paramagnetic,,3.9e-09,7.17e-10,7.51e-05,5e-08,4e-07,1.2e-05,0.00011,1.2e-08,,1.93e-10,1.46e-10,,"Im_
3m",229.0,inf,inf,,5D0,18.4,0.0036,6.0,6.0
Rhenium,Re,75.0,186.207,21020.0,3459.15,5869.15,Solid,3459.0,5869.0,,,33.0,705.0,,,,,48.0,6.2e-06,18900.0,8.85856e-06,1320000000.0,7000000.0,2450000000.0,370000000000.0,178000000000.0,463000000000.0,0.3,,4700.0,7.0,1.9,14.5,,,,,EU231-124-5,,,,,,d,7.0,6.0,[Rn]5f146d107s1,Gray,,CAS7440-15-5,CID23947,Gmelin16243,NSC600662,Conductor,5600000.0,1.8e-07,1.7,,,4.6e-09,8.57e-10,9.67e-05,2e-08,1e-08,4.9e-06,2.6e-07,1e-10,,1.88e-10,1.59e-10,,P63/mmc,194.0,inf,inf,,6S5/2,90.0,0.016,6.0,7.0
Osmium,Os,76.0,190.23,22610.0,3306.15,5285.15,Solid,3306.0,5285.0,5841000.0,,31.0,630.0,,158.32,,,88.0,5.1e-06,20000.0,8.4135e-06,3920000000.0,7000000.0,,,222000000000.0,,0.25,,4940.0,6.0,2.2,106.1,,,4.1,3089.0,EU231-114-0,4.0,,1.0,RTECSZE1280000,,d,8.0,6.0,[Kr]4d105s25p6,SlateGray,,CAS7440-04-2,CID23937,Gmelin16234,NSC607772,Conductor,12000000.0,8.1e-08,0.66,Paramagnetic,,6e-10,1.1e-10,1.4e-05,3e-07,2e-07,6.6e-05,1.8e-07,,,1.85e-10,1.28e-10,,P63/mmc,194.0,inf,inf,,5D4,15.0,0.0023,6.0,8.0
Iridium,Ir,77.0,192.217,22650.0,2739.15,4701.15,Solid,2739.0,4701.0,,,26.0,560.0,,,,,150.0,6.4e-06,19000.0,8.4864e-06,1670000000.0,6500000.0,1760000000.0,320000000000.0,210000000000.0,528000000000.0,0.26,,4825.0,6.0,2.2,151.0,,,4.1,3089.0,EU231-095-9,,,,,,d,9.0,6.0,[Rn]5f146d107s27p2,Silver,,CAS7439-88-5,CID23924,Gmelin16298,,Conductor,21000000.0,4.7e-08,0.11,Paramagnetic,,2.3e-09,4.42e-10,5.21e-05,2e-07,2e-07,5.4e-05,4e-08,,,1.8e-10,1.37e-10,,"Fm_
3m",225.0,inf,inf,,4F9/2,425.0,0.08,6.0,9.0
Platinum,Pt,78.0,195.078,21090.0,2041.45,4098.15,Solid,2041.4,4098.0,,,20.0,490.0,,195.0,,,72.0,8.8e-06,19770.0,9.2498e-06,392000000.0,3500000.0,549000000.0,230000000000.0,61000000000.0,168000000000.0,0.38,,2680.0,6.0,2.28,205.3,,,4.1,3089.0,EU231-116-1,2.0,1.0,0.0,,,d,10.0,6.0,[Xe]5d16s2,Gray,,CAS7440-06-4,CID23939,Gmelin79607,,Conductor,9400000.0,1.1e-07,,Paramagnetic,,1.22e-08,2.38e-09,0.0002573,5e-07,9e-07,9.8e-05,3.7e-06,,,1.77e-10,1.28e-10,1.75e-10,"Fm_
3m",225.0,inf,inf,,3D3,10.0,0.002,6.0,10.0
Gold,Au,79.0,196.96655,19300.0,1337.33,3129.15,Solid,1337.33,3129.0,,,12.5,330.0,,,,,320.0,1.42e-05,17310.0,1.021e-05,2450000000.0,2500000.0,216000000.0,220000000000.0,27000000000.0,78000000000.0,0.44,,1740.0,5.0,2.54,222.8,,,,,EU231-165-9,0.0,2.0,0.0,,Aurum,d,11.0,6.0,[Rn]5f146d107s27p5,Gold,,CAS7440-57-5,CID23985,Gmelin16246,,Conductor,45000000.0,2.2e-08,,Diamagnetic,,-1.8e-09,-3.55e-10,-3.47e-05,6e-08,1e-07,1.7e-05,3.1e-07,5e-09,1e-05,1.74e-10,1.44e-10,1.66e-10,"Fm_
3m",225.0,inf,inf,,2S1/2,98.7,0.017,6.0,11.0
Mercury,Hg,80.0,200.59,13534.0,234.32,629.88,Liquid,234.32,629.88,,1750.0,2.29,59.2,,,,,8.3,,13534.0,1.48212e-05,,,,25000000000.0,,,,1.000933,1407.0,2.0,2.0,0.0,,,8.0,2809.0,EU231-106-7,0.0,3.0,0.0,,Hydrargyrum,d,12.0,6.0,[Rn]5f146d107s27p6,Silver,,CAS7439-97-6,CID26623,Gmelin1623,,Conductor,1000000.0,9.6e-07,4.154,Diamagnetic,,-2.1e-09,-4.21e-10,-2.84e-05,1e-07,2e-06,2.5e-05,6.7e-06,5e-09,,1.71e-10,1.49e-10,1.55e-10,"R_
3m",166.0,inf,inf,,1S0,374.0,0.063,6.0,12.0
Thallium,Tl,81.0,204.3833,11850.0,577.15,1746.15,Solid,577.0,1746.0,227000.0,,4.2,165.0,,5193.1,,,46.0,2.99e-05,11220.0,1.72475e-05,26400000.0,1200000.0,,43000000000.0,2800000000.0,8000000000.0,0.45,,818.0,3.0,1.62,19.2,,,,1707.0,EU231-138-1,,,,RTECSMH6520000,,p,13.0,6.0,1s2,Silver,,CAS7440-28-0,CID105005,Gmelin16308,,Conductor,6700000.0,1.5e-07,2.38,Diamagnetic,,-3e-09,-6.13e-10,-3.56e-05,5e-08,1e-07,7.8e-06,5.3e-05,1e-10,,1.56e-10,1.48e-10,1.96e-10,P63/mmc,194.0,inf,inf,,2P1/2,3.4,0.0006,6.0,13.0
Lead,Pb,82.0,207.2,11340.0,600.61,2022.15,Solid,600.61,2022.0,,,4.77,178.0,,196.0,,,35.0,2.89e-05,10660.0,1.8272e-05,38300000.0,1500000.0,,46000000000.0,5600000000.0,16000000000.0,0.44,,1260.0,4.0,2.33,35.1,,,,3077.0,EU231-100-4,0.0,2.0,0.0,,Plumbum,p,14.0,6.0,[Xe]4f66s2,SlateGray,,CAS7439-92-1,CID73212,Gmelin16240,,Conductor,4800000.0,2.1e-07,7.2,Diamagnetic,,-1.5e-09,-3.11e-10,-1.7e-05,1e-06,1e-06,0.00014,0.00099,3e-09,0.00017,1.54e-10,1.47e-10,2.02e-10,"Fm_
3m",225.0,inf,inf,,3P0,0.171,3e-05,6.0,14.0
Bismuth,Bi,83.0,208.98038,9780.0,544.45,1837.15,Solid,544.4,1837.0,,,10.9,160.0,,1030.0,,,8.0,1.34e-05,10050.0,2.1368e-05,94200000.0,2250000.0,,31000000000.0,12000000000.0,32000000000.0,0.33,,1790.0,5.0,2.02,91.2,,,6.1,3080.0,EU231-177-4,,,,RTECSED7350000,,p,15.0,6.0,[He]2s22p1,Gray,,CAS7440-69-9,CID5359367,Gmelin16267,,Conductor,770000.0,1.3e-06,,Diamagnetic,,-1.7e-08,-3.6e-09,-0.00017,7e-08,1e-06,6.9e-06,2.5e-06,2e-09,,1.43e-10,1.46e-10,,C12/m1,12.0,5.9926e+26,8.70504e+26,AlphaEmission,4S3/2,0.034,6e-06,6.0,15.0
Polonium,Po,84.0,209.0,9196.0,527.15,1235.15,Solid,527.0,1235.0,,,13.0,100.0,,182.0,,,,,,2.2727e-05,,,,,,,,,,6.0,2.0,183.3,,,,,,,,,,,p,16.0,6.0,[Xe]4f96s2,Silver,,CAS7440-08-6,,,,Conductor,2300000.0,4.3e-07,,,,,,,,,,,2e-18,0.0,1.35e-10,,,Pm-3m,221.0,3220234000.0,4639534000.0,AlphaEmission,3P2,0.5,,6.0,16.0
Astatine,At,85.0,210.0,,575.15,,Solid,575.0,,5043000.0,,6.0,40.0,,919.0,,,2.0,,,,,,,,,,,,,7.0,2.2,270.1,,,,,,,,,RTECSRS2060000,,p,17.0,6.0,[He]2s22p4,Silver,,CAS7440-68-8,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.27e-10,,,,,29016.0,42120.0,BetaPlusDecay,2P3/2,,,6.0,17.0
Radon,Rn,86.0,222.0,9.73,202.15,211.45,Gas,202.0,211.3,,377.0,3.0,17.0,,168.0,5/3,,0.00361,,,0.02282,,,,,,,,,,6.0,,0.0,,,7.0,2912.0,EU233-146-0,,,,,,p,18.0,6.0,[Xe]4f126s2,Colorless,Monoatomic,CAS10043-92-2,CID24857,Gmelin16242,,,,,,,,,,,,,,,6e-20,,1.2e-10,1.45e-10,,,,330349.968,476590.0032,AlphaEmission,1S0,0.7,,6.0,18.0
Francium,Fr,87.0,223.0,,,,Solid,,,35000000.0,,2.0,65.0,,1230.0,,,,,,,,,,,,,,,,3.0,0.7,,,,,,,,,,RTECSVY0686000,,s,1.0,7.0,[Ne]3s1,Silver,,CAS7440-73-5,,,,,,,,,,,,,,,,,,0.0,,,,,,21.7,31.7,BetaDecay,2S1/2,,,7.0,1.0
Radium,Ra,88.0,226.0,5000.0,973.15,2010.15,Solid,973.0,2010.0,,,8.0,125.0,,154.0,,,19.0,,,4.52e-05,,,,,,,,,,2.0,0.9,,,,,,EU231-122-4,,,,,,s,2.0,7.0,[Xe]4f145d16s2,Silver,,CAS7440-14-4,CID6328144,Gmelin40437,,Conductor,1000000.0,1e-06,,,,,,,,,,9.9e-12,1e-15,1e-13,,,,"Im_
3m",229.0,50148600000.0,72857400000.0,AlphaEmission,1S0,20.0,,7.0,2.0
Actinium,Ac,89.0,227.0,10070.0,1323.15,3473.15,Solid,1323.0,3473.0,,,14.0,400.0,,710.0,,,12.0,,,2.25422e-05,,,,,,,,,,3.0,1.1,,,,,,,,,,RTECSVW0400000,,f,,7.0,[Ne]3s23p2,Silver,,CAS7440-34-8,,,,,,,,,,,,,,0.0,,,,0.0,,,,"Fm_
3m",225.0,687146210.0,991336894.0,BetaDecay,2D3/2,810.0,0.079,9.5,3.0
Thorium,Th,90.0,232.0381,11724.0,2023.15,5093.15,Solid,2023.0,5093.0,,,16.0,530.0,,132.0,,,54.0,1.1e-05,,1.97917e-05,400000000.0,3000000.0,350000000.0,54000000000.0,31000000000.0,79000000000.0,0.27,,2490.0,4.0,1.3,,403.15,,7.0,2975.0,EU231-139-7,,,,RTECSYO7175000,,f,,7.0,[Xe]4f145d46s2,Silver,,CAS7440-29-1,CID23960,Gmelin16314,,Conductor,6700000.0,1.5e-07,1.38,,,5.3e-09,1.23e-09,6.21e-05,4e-08,3e-08,3.9e-06,0.0006,4e-12,0.0,,,,"Fm_
3m",225.0,4.434524e+17,6.397889e+17,AlphaEmission,3F2,7.4,0.001,9.5,4.0
Mentira,H,90.0,1.0,90.0,,4273.15,Solid,1845.0,4273.0,7991000.0,,15.0,470.0,,478.2,,,47.0,,,1.50316e-05,,,,,,,,,,5.0,1.5,,,,,,,,,,,,f,,7.0,[Ne]3s23p5,Silver,,CAS7440-13-3,,,,Conductor,5600000.0,1.8e-07,1.4,,,3.25e-08,7.509e-09,0.0004995,,,,9.9e-13,2.0000000000000002e-23,0.0,,,,I4/mmm,139.0,1034133520000.0,1491179660000.0,AlphaEmission,4K11/2,500.0,,9.5,5.0
Protactinium,Pa,91.0,231.03588,15370.0,1845.15,4273.15,Solid,1845.0,4273.0,7991000.0,,15.0,470.0,,478.2,,,47.0,,,1.50316e-05,,,,,,,,,,5.0,1.5,,,,,,,,,,,,f,,7.0,[Ne]3s23p5,Silver,,CAS7440-13-3,,,,Conductor,5600000.0,1.8e-07,1.4,,,3.25e-08,7.509e-09,0.0004995,,,,9.9e-13,2.0000000000000002e-23,0.0,,,,I4/mmm,139.0,1034133520000.0,1491179660000.0,AlphaEmission,4K11/2,500.0,,9.5,5.0
Uranium,U,92.0,238.02891,19050.0,1408.15,4200.15,Solid,1408.0,4200.0,,,14.0,420.0,,131.0,,,27.0,1.39e-05,17300.0,1.2495e-05,2400000000.0,6000000.0,1960000000.0,100000000000.0,111000000000.0,208000000000.0,0.23,,3155.0,6.0,1.38,,,,7.0,2979.0,EU231-170-6,,,,,,f,,7.0,[Xe]4f145d76s2,Silver,,CAS7440-61-1,CID23989,Gmelin16315,,Conductor,3600000.0,2.8e-07,0.68,,,2.15e-08,5.118e-09,0.0004096,2e-08,1e-07,9.8e-07,0.00018,3.3e-07,1e-07,,,1.86e-10,Cmcm,63.0,1.4101534e+17,2.03426692e+17,AlphaEmission,5L6,7.57,0.0005,9.5,6.0
Neptunium,Np,93.0,237.0,20450.0,917.15,4273.15,Solid,917.0,4273.0,,,10.0,335.0,,631.0,,,6.0,,,1.15892e-05,,,,,,,,,,6.0,1.36,,,,,,,,,,RTECSEW8040000,,f,,7.0,[Ar]4s2,Silver,,CAS7439-99-8,,,,Conductor,830000.0,1.2e-06,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,Pnma,62.0,67669070000000.0,97622608000000.0,AlphaEmission,6L11/2,180.0,,9.5,7.0
Plutonium,Pu,94.0,244.0,19816.0,913.15,3503.15,Solid,913.0,3503.0,172000000.0,,,325.0,,139.5,,,6.0,,16630.0,1.23133e-05,,,,,43000000000.0,96000000000.0,0.21,,2260.0,6.0,1.28,,,,,,EU231-117-7,,,,RTECSOV4550000,,f,,7.0,[Xe]4f145d106s2,Silver,,CAS7440-07-5,CID23940,Gmelin40432,,Conductor,670000.0,1.5e-06,,,,3.14e-08,7.662e-09,0.0006222,,0.0,0.0,0.0,0.0,0.0,,,,P121/m1,11.0,2501122000000000.0,3595560000000000.0,AlphaEmission,7F0,1.7,,9.5,8.0
Americium,Am,95.0,243.0,,1449.15,2284.15,Solid,1449.0,2284.0,,,,,,489.0,,,10.0,,,,,,,,,,,,,4.0,1.3,,,,,,,,,,RTECSYW1355000,,f,,7.0,[Ar]3d34s2,Silver,,CAS7440-35-9,,,,,,,0.6,,,5.15e-08,1.251e-08,,,0.0,0.0,0.0,0.0,0.0,,,,P63/mmc,194.0,233017520000.0,335901000000.0,AlphaEmission,8S7/2,74.0,,9.5,9.0
Curium,Cm,96.0,247.0,13510.0,1618.15,3383.15,Solid,1618.0,3383.0,,,,,,122.0,,,,,,1.82828e-05,,,,,,,,,,4.0,1.3,,,,,,,,,,RTECSEB2600000,,f,,7.0,[Xe]4f145d106s26p3,Silver,,CAS7440-51-9,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,P63/mmc,194.0,492024000000000.0,709650000000000.0,AlphaEmission,9D2,60.0,,9.5,10.0
Berkelium,Bk,97.0,247.0,14780.0,1323.15,,Solid,1323.0,,,,,,,449.0,,,10.0,,,1.67118e-05,,,,,,,,,,4.0,1.3,,,,,,,,,,RTECSNO4565500,,f,,7.0,[Ar]3d64s2,,,CAS7440-40-6,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,P63/mmc,194.0,43493660000.0,62796140000.0,AlphaEmission,6H15/2,710.0,,9.5,11.0
Californium,Cf,98.0,251.0,15100.0,1173.15,,Solid,1173.0,,6280000.0,,,,,93.65,,,,,,1.662e-05,,,,,,,,,,4.0,1.3,,,,,,,,,,RTECSVE3750000,,f,,7.0,[Xe]4f145d106s26p6,,,CAS7440-71-3,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,P63/mmc,194.0,28404924000.0,41002000000.0,AlphaEmission,5I8,2900.0,,9.5,12.0
Einsteinium,Es,99.0,252.0,,1133.15,,Solid,1133.0,,,,,,,384.4,,,,,,,,,,,,,,,,4.0,1.3,,,,,,,,,,RTECSGL5325000,,f,,7.0,[Ar]3d104s1,,,CAS7429-92-7,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,40755988.0,58822100.0,AlphaEmission,5I15/2,160.0,,9.5,13.0
Fermium,Fm,100.0,257.0,,1800.15,,,1800.0,,,,,,,120.0,,,,,,,,,,,,,,,,3.0,1.3,,,,,,,,,,,,f,,7.0,[Rn]6d17s2,,,CAS7440-72-4,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,8683200.0,12529728.0,AlphaEmission,3H6,5800.0,,9.5,14.0
Mendelevium,Md,101.0,258.0,,1100.15,,,1100.0,,,,,,,321.4,,,,,,,,,,,,,,,,3.0,1.3,,,,,,,,,,RTECSLY5200000,,f,,7.0,[Ar]3d104s24p2,,,CAS7440-11-1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,4449600.0,6420384.0,AlphaEmission,2F7/2,,,9.5,15.0
Nobelium,No,102.0,259.0,,1100.15,,,1100.0,,,,,,,116.0,,,,,,,,,,,,,,,,3.0,1.3,,,,,,,,,,RTECSYR3490000,,f,,7.0,[Rn]5f36d17s2,,,CAS10028-14-5,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,10008.0,20016.0,AlphaEmission,1S0,,,9.5,16.0
Lawrencium,Lr,103.0,262.0,,1900.15,,,1900.0,,10340000.0,,,,,947.3,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,RTECSEF9100000,,d,3.0,7.0,[Ar]3d104s24p5,,,CAS22537-19-5,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,36000.0,51840.0,AlphaEmission,2P1/2,,,9.5,17.0
Rutherfordium,Rf,104.0,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,d,4.0,7.0,[Rn]5f77s2,,,CAS53850-36-5,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,47160.0,68040.0,AlphaEmission,3F2,,,7.0,4.0
Dubnium,Db,105.0,262.0,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,RTECSWK7849000,,d,5.0,7.0,[Kr]5s2,,,CAS53850-35-4,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,20016.0,29988.0,AlphaEmission,4F3/2,,,7.0,5.0
Seaborgium,Sg,106.0,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,d,6.0,7.0,[Rn]5f107s2,,,CAS54038-81-2,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,6984.0,10008.0,AlphaEmission,5D0,,,7.0,6.0
Bohrium,Bh,107.0,264.0,,,,,,,,,,,,265.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,RTECSQT9900000,,d,7.0,7.0,[Kr]4d45s1,,,CAS54037-14-8,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,5400.0,7812.0,AlphaEmission,6S5/2,,,7.0,7.0
Hassium,Hs,108.0,277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,8.0,7.0,[Rn]5f137s2,,,CAS54037-57-9,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,3996.0,5004.0,AlphaEmission,5D4,,,7.0,8.0
Meitnerium,Mt,109.0,268.0,,,,,,,,,,,,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,9.0,7.0,[Kr]4d75s1,,,CAS54038-01-6,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,30.0,43.3,AlphaEmission,4F9/2,,,7.0,9.0
Darmstadtium,Ds,110.0,281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,10.0,7.0,[Rn]5f146d27s2,,,CAS54083-77-1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,4.0,5.833,AlphaEmission,3D3,,,7.0,10.0
Roentgenium,Rg,111.0,272.0,,,,,,,,,,,,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,RTECSVW3500000,,d,11.0,7.0,[Kr]4d105s1,,,CAS54386-24-2,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,14.5,AlphaEmission,2S1/2,,,7.0,11.0
Ununbium,Uub,112.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,12.0,7.0,[Rn]5f146d57s2,,,CAS54084-26-3,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,40.0,58.3,AlphaEmission,1S0,,,7.0,12.0
Ununtrium,Uut,113.0,284.0,,,,,,,,,,,,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,RTECSXP7320000,,p,13.0,7.0,[Kr]4d105s25p2,,,CAS54084-70-7,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,20.0,28.3,AlphaEmission,2P1/2,,,7.0,13.0
Ununquadium,Uuq,114.0,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,14.0,7.0,[Rn]5f146d97s1,,,CAS54085-16-4,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.33,2.0,AlphaEmission,3P0,,,7.0,14.0
Ununpentium,Uup,115.0,288.0,,,,,,,11700000.0,,,,,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,RTECSNN1575000,,p,15.0,7.0,[Kr]4d105s25p5,,,CAS54085-64-2,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.5,AlphaEmission,4S3/2,,,7.0,15.0
Ununhexium,Uuh,116.0,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,16.0,7.0,[Rn]5f146d107s27p1,,,CAS54100-71-9,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.12,0.173,AlphaEmission,3P2,,,7.0,16.0
Ununseptium,Uus,117.0,,,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,RTECSCQ8370000,,p,17.0,7.0,[Xe]6s2,,,CAS87658-56-8,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.05,0.072,,2P3/2,,,7.0,17.0
Ununoctium,Uuo,118.0,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,18.0,7.0,[Rn]5f146d107s27p4,,,CAS54144-19-3,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.005,0.007,AlphaEmission,1S0,,,7.0,18.0
